agent,other,trust,friendship,respect,fear
Norako,Ramian,0,0,0,0
Norako,Ramiko,0,0,0,0
Norako,Arina,0,0,0,0
Norako,Kaimi,0,0,0,0
Norako,Mirana,0,0,0,0
Norako,Mirako,0,0,0,0
Norako,Senana,0,0,0,0
Kairen,Mira,1,2,1,0
Kairen,Kai,14,8,7,0
Kairen,Rook,2,0,0,0
Kairen,Aria,6,0,0,0
Kairen,Liona,0,1,0,0
Kairen,Arira,0,0,0,0
Kairen,Niko,4,4,0,0
Kairen,Ramiel,0,0,0,0
Kairen,Zane,2,0,0,0
Kairen,Daren,4,4,1,0
Kairen,Lena,1,0,1,0
Kairen,Eli,0,0,0,0
Kairen,Ramimi,0,0,0,0
Kairen,Eliel,0,0,0,0
Kairen,Elina,0,0,0,0
Kairen,Elian,0,0,0,0
Kairen,Mirara,0,0,0,0
Kairen,Arimi,0,0,0,0
Kairen,Ramira,0,0,0,0
Kairen,Ramian,0,0,0,0
Kairen,Ramiko,0,0,0,0
Kairen,Arina,0,0,0,0
Kairen,Kaimi,0,0,0,0
Kairen,Mirana,1,0,0,0
Kairen,Mirako,0,0,0,0
Kairen,Senana,0,0,0,0
Ramina,Mira,0,0,2,0
Ramina,Kai,0,0,1,0
Ramina,Rook,0,0,0,0
Ramina,Aria,0,0,0,0
Ramina,Liona,0,0,0,0
Ramina,Arira,0,0,0,0
Ramina,Kairen,0,0,0,0
Ramina,Daren,2,3,2,0
Ramina,Nova,2,6,2,0
Ramina,Lena,1,4,2,0
Ramina,Norako,0,0,1,0
Ramina,Niko,0,3,0,0
Ramina,Ramiel,0,0,0,0
Ramina,Zane,3,6,0,0
Ramina,Eli,0,2,0,0
Ramina,Mirako,0,0,1,0
Ramina,Ramimi,0,0,0,0
Ramina,Eliel,0,0,0,0
Ramina,Elina,0,0,0,0
Ramina,Arian,1,0,0,0
Ramina,Elian,0,0,0,0
Ramina,Mirara,0,0,0,0
Ramina,Arimi,0,0,0,0
Ramina,Ramira,0,0,0,0
Ramina,Ramian,0,0,0,0
Ramina,Ramiko,1,0,0,0
Ramina,Arina,0,0,0,0
Ramina,Kaimi,0,0,0,0
Ramina,Mirana,0,0,0,0
Ramina,Senana,0,0,0,0
Ramiel,Mira,1,0,0,0
Ramiel,Kai,0,0,2,0
Ramiel,Rook,8,22,3,0
Ramiel,Niko,2,0,0,0
Ramiel,Aria,0,0,0,0
Ramiel,Liona,0,0,0,0
Ramiel,Arira,0,0,0,0
Ramiel,Kairen,0,0,0,0
Ramiel,Zane,0,0,0,0
Ramiel,Daren,0,2,1,0
Ramiel,Lena,3,0,1,0
Ramiel,Eli,0,0,0,0
Ramiel,Ramimi,0,0,0,0
Ramiel,Eliel,0,0,0,0
Ramiel,Elina,0,0,0,0
Ramiel,Elian,0,0,0,0
Ramiel,Mirara,0,0,0,0
Ramiel,Arimi,0,0,0,0
Ramiel,Ramira,0,0,0,0
Ramiel,Ramian,0,0,0,0
Ramiel,Ramiko,0,0,0,0
Ramiel,Arina,0,0,0,0
Ramiel,Kaimi,0,0,0,0
Ramiel,Mirana,0,0,0,0
Ramiel,Mirako,0,0,0,0
Ramiel,Senana,0,0,0,0
Mirako,Mira,0,0,0,0
Mirako,Kai,0,0,0,0
Mirako,Rook,1,0,0,0
Mirako,Niko,0,2,0,0
Mirako,Aria,0,0,0,0
Mirako,Liona,0,0,0,0
Mirako,Arira,0,0,0,0
Mirako,Kairen,0,0,0,0
Mirako,Ramiel,0,0,0,0
Mirako,Zane,0,0,0,0
Mirako,Lena,6,7,3,0
Mirako,Daren,0,0,1,0
Mirako,Arian,0,1,0,0
Mirako,Nova,0,2,1,0
Mirako,Ramina,0,0,1,0
Mirako,Eli,0,2,0,0
Mirako,Kaiko,1,0,0,0
Mirako,Ramimi,1,0,0,0
Mirako,Eliel,0,0,0,0
Mirako,Elina,0,0,0,0
Mirako,Elian,0,0,0,0
Mirako,Mirara,0,0,0,0
Mirako,Arimi,0,0,0,0
Mirako,Ramira,0,0,0,0
Mirako,Ramian,0,0,0,0
Mirako,Arina,1,0,0,0
Mirako,Ramiko,0,0,0,0
Mirako,Kaimi,0,0,0,0
Mirako,Mirana,0,0,0,0
Mirako,Senana,0,0,0,0
Kaiko,Mira,0,0,0,0
Kaiko,Kai,0,0,0,0
Kaiko,Aria,0,0,0,0
Kaiko,Daren,0,0,1,0
Kaiko,Liona,0,0,0,0
Kaiko,Arira,0,0,0,0
Kaiko,Kairen,0,0,0,0
Kaiko,Ramiel,0,0,0,0
Kaiko,Niko,0,0,0,0
Kaiko,Zane,0,2,0,0
Kaiko,Rook,2,6,1,0
Kaiko,Nova,7,3,3,0
Kaiko,Eli,0,4,0,0
Kaiko,Mirako,0,1,0,0
Kaiko,Lena,2,0,3,0
Kaiko,Ramimi,0,0,0,0
Kaiko,Eliel,0,0,0,0
Kaiko,Elina,0,0,0,0
Kaiko,Elian,0,0,0,0
Kaiko,Mirara,0,0,0,0
Kaiko,Arimi,0,0,0,0
Kaiko,Ramira,0,0,0,0
Kaiko,Ramian,0,0,0,0
Kaiko,Ramiko,0,0,0,0
Kaiko,Arina,0,0,0,0
Kaiko,Kaimi,0,0,0,0
Kaiko,Mirana,0,0,0,0
Kaiko,Senana,0,0,0,0
Miraan,Mira,0,0,0,0
Miraan,Kai,0,0,0,0
Miraan,Niko,0,0,0,0
Miraan,Aria,0,0,0,0
Miraan,Liona,0,0,0,0
Miraan,Arira,0,0,0,0
Miraan,Kairen,0,0,0,0
Miraan,Ramiel,0,0,0,0
Miraan,Lena,1,0,1,0
Miraan,Rook,0,6,1,0
Miraan,Eli,0,0,0,0
Miraan,Nova,12,10,5,0
Miraan,Daren,-2,4,1,0
Miraan,Senami,0,1,0,0
Miraan,Noraan,0,1,0,0
Miraan,Ramimi,0,0,0,0
Miraan,Eliel,0,0,0,0
Miraan,Elina,0,0,0,0
Miraan,Zane,1,0,0,0
Miraan,Elian,0,0,0,0
Miraan,Mirara,0,0,0,0
Miraan,Arimi,0,0,0,0
Miraan,Ramira,0,0,0,0
Miraan,Ramian,0,0,0,0
Miraan,Ramiko,0,0,0,0
Miraan,Arina,0,0,0,0
Miraan,Kaimi,0,0,0,0
Miraan,Kaina,1,0,0,0
Miraan,Mirana,0,0,0,0
Miraan,Mirako,0,0,0,0
Miraan,Senana,0,0,0,0
Ramimi,Mira,0,0,1,0
Ramimi,Kai,0,0,0,0
Ramimi,Lena,5,0,1,0
Ramimi,Rook,6,7,3,0
Ramimi,Niko,0,0,0,0
Ramimi,Aria,0,0,0,0
Ramimi,Daren,0,0,0,0
Ramimi,Eli,0,0,0,0
Ramimi,Liona,0,0,0,0
Ramimi,Arira,0,0,0,0
Ramimi,Kairen,0,0,0,0
Ramimi,Ramiel,0,0,0,0
Ramimi,Eliel,0,0,0,0
Ramimi,Elina,0,0,0,0
Ramimi,Zane,0,0,0,0
Ramimi,Elian,0,0,0,0
Ramimi,Mirara,1,0,0,0
Ramimi,Arimi,0,0,0,0
Ramimi,Ramira,0,0,0,0
Ramimi,Ramian,0,0,0,0
Ramimi,Ramiko,0,0,0,0
Ramimi,Arina,0,0,0,0
Ramimi,Kaimi,0,0,0,0
Ramimi,Mirana,0,0,0,0
Ramimi,Mirako,0,0,0,0
Ramimi,Senana,0,0,0,0
Eliel,Mira,1,0,3,0
Eliel,Kai,30,24,7,0
Eliel,Lena,0,0,1,0
Eliel,Rook,0,0,0,0
Eliel,Niko,1,0,0,0
Eliel,Aria,5,0,0,0
Eliel,Eli,0,0,0,0
Eliel,Liona,0,0,0,0
Eliel,Arira,0,0,0,0
Eliel,Kairen,0,0,0,0
Eliel,Ramiel,0,0,0,0
Eliel,Ramimi,0,0,0,0
Eliel,Elina,0,0,0,0
Eliel,Daren,0,0,1,0
Eliel,Zane,0,0,0,0
Eliel,Elian,0,0,0,0
Eliel,Mirara,0,0,0,0
Eliel,Arimi,0,0,0,0
Eliel,Ramira,0,0,0,0
Eliel,Ramian,0,0,0,0
Eliel,Ramiko,0,0,0,0
Eliel,Arina,0,0,0,0
Eliel,Kaimi,0,0,0,0
Eliel,Mirana,0,0,0,0
Eliel,Mirako,0,0,0,0
Eliel,Senana,0,0,0,0
Elina,Mira,3,0,2,0
Elina,Kai,0,0,1,0
Elina,Lena,1,0,2,0
Elina,Rook,1,0,0,0
Elina,Niko,1,0,0,0
Elina,Aria,0,0,0,0
Elina,Eli,6,21,0,0
Elina,Liona,0,0,0,0
Elina,Arira,0,0,0,0
Elina,Kairen,0,0,0,0
Elina,Ramiel,0,0,0,0
Elina,Ramimi,0,0,0,0
Elina,Eliel,0,0,0,0
Elina,Daren,3,0,1,0
Elina,Zane,0,0,0,0
Elina,Elian,0,0,0,0
Elina,Mirara,0,0,0,0
Elina,Arimi,0,0,0,0
Elina,Ramira,0,0,0,0
